市区町村,有効投票,無効票,投票総数,みんなの党,民主党,新党大地,社会民主党,生活の党,みどりの風,自由民主党,日本共産党,公明党,緑の党,日本維新の会,幸福実現党
東大和市,36526.00,755.00,37281.00,3484.00,3380.00,144.00,681.00,587.00,296.83,10059.29,5598.50,6387.44,371.02,3703.26,69.00
清瀬市,33026.00,746.00,33772.00,3004.00,3409.00,165.00,723.00,531.00,303.00,9460.28,6280.71,4176.26,373.00,3176.31,76.00
東久留米市,50913.00,1223.00,52136.00,4811.00,5107.00,237.00,1163.00,908.00,396.08,14866.67,8416.56,6380.07,622.04,5103.61,109.00
武蔵村山市,27165.00,732.00,27897.00,2219.00,1960.00,123.00,363.00,392.00,142.44,7896.62,3825.39,6047.21,251.00,2686.54,65.00
多摩市,67027.00,1388.00,68415.00,7412.00,6769.00,339.00,1776.00,1258.00,735.00,19283.15,10423.15,6775.61,881.00,8295.65,121.00
稲城市,36627.00,735.00,37362.00,4110.00,3200.00,169.00,695.00,583.00,349.10,11588.41,4577.00,3935.06,439.00,4977.28,86.00
羽村市,22544.00,507.00,23051.00,2124.00,2168.00,102.00,411.00,310.00,127.40,7270.07,2800.75,3051.75,234.00,2306.25,50.00
あきる野市,32171.00,806.00,32977.00,2735.00,3011.00,113.00,645.00,446.00,208.82,11025.21,4413.78,4488.15,330.81,3049.11,82.00
西東京市,85508.00,1846.00,87354.00,9325.00,8977.00,479.00,1876.00,1533.00,837.18,25920.88,11928.13,9501.75,1239.00,9493.72,208.00
瑞穂町,12116.00,407.00,12523.00,986.00,909.00,63.00,150.00,178.00,39.62,4288.46,1194.44,2123.37,98.00,1311.02,37.00
日の出町,7491.00,202.00,7693.00,625.00,735.00,31.00,128.00,95.00,48.75,2842.65,861.10,999.62,74.00,693.19,18.00
檜原村,1340.00,64.00,1404.00,78.00,125.00,5.00,25.00,10.00,11.14,606.86,80.00,261.00,22.00,76.00,2.00
奥多摩町,2888.00,136.00,3024.00,195.00,247.00,10.00,51.00,43.00,23.00,1277.20,294.38,427.25,32.00,188.00,10.00
大島町,4093.00,168.00,4261.00,239.00,244.00,15.00,59.00,43.00,26.00,1606.65,693.00,676.00,65.00,304.15,3.00
利島村,211.00,11.00,222.00,11.00,5.00,0.00,2.00,1.00,2.00,148.00,13.00,15.00,1.00,10.00,0.00
新島村,1429.00,60.00,1489.00,73.00,101.00,7.00,14.00,12.00,7.86,798.14,125.00,104.00,27.00,102.00,1.00
神津島村,971.00,18.00,989.00,55.00,66.00,5.00,11.00,15.00,11.00,495.00,31.00,157.00,11.00,70.00,1.00
三宅村,1326.00,51.00,1377.00,62.00,97.00,4.00,28.00,14.00,7.43,598.57,158.00,172.00,15.00,124.00,4.00
御蔵島村,201.00,8.00,209.00,13.00,19.00,1.00,1.00,2.00,4.00,94.00,28.00,10.00,6.00,20.00,1.00
八丈町,4130.00,119.00,4249.00,238.00,286.00,17.00,62.00,87.00,34.00,1536.00,372.00,964.00,51.00,297.00,10.00
青ヶ島村,94.00,12.00,106.00,12.00,3.00,4.00,2.00,0.00,2.00,40.00,7.00,14.00,2.00,5.00,0.00
小笠原村,1111.00,39.00,1150.00,83.00,55.00,9.00,15.00,16.00,13.75,381.25,111.43,132.29,89.00,154.00,5.00
