id,選手名,年,所属,試合数,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
5,菅野智之,2016,読売,16,40,35,3,9,0,0,0,9,1,0,0,4,0,1,0,13,0,0.257,0.257,0.278
6,マシソン,2012,読売,40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000
6,マシソン,2013,読売,63,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.000,0.000,0.000
6,マシソン,2014,読売,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
6,マシソン,2015,読売,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
6,マシソン,2016,読売,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
7,桜井俊貴,2016,読売,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.000,0.000,0.000
8,内海哲也,2004,読売,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.000,0.000,0.000
8,内海哲也,2005,読売,26,28,27,1,3,0,0,0,3,0,0,0,1,0,0,0,17,0,0.111,0.111,0.111
8,内海哲也,2006,読売,31,63,56,2,12,1,0,0,13,5,0,0,7,0,0,0,29,1,0.214,0.232,0.214
8,内海哲也,2007,読売,28,63,54,3,3,0,0,0,3,2,0,0,5,0,3,1,35,0,0.056,0.056,0.121
8,内海哲也,2008,読売,29,61,60,1,5,0,0,0,5,1,0,0,1,0,0,0,30,0,0.083,0.083,0.083
8,内海哲也,2009,読売,27,54,50,2,5,0,0,0,5,1,0,0,2,0,2,0,24,0,0.100,0.100,0.135
8,内海哲也,2010,読売,27,54,45,2,6,1,0,0,7,4,0,0,8,0,1,0,20,0,0.133,0.156,0.152
8,内海哲也,2011,読売,29,59,56,1,7,0,0,0,7,1,0,0,2,0,1,0,24,0,0.125,0.125,0.140
8,内海哲也,2012,読売,28,63,52,4,4,0,0,0,4,4,0,0,7,0,4,0,23,1,0.077,0.077,0.143
8,内海哲也,2013,読売,25,47,40,1,2,0,0,0,2,0,0,0,5,0,2,0,21,0,0.050,0.050,0.095
8,内海哲也,2014,読売,22,48,39,3,5,0,0,0,5,1,0,0,7,0,2,0,18,0,0.128,0.128,0.171
8,内海哲也,2015,読売,5,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.000,0.000,0.000
8,内海哲也,2016,読売,8,12,9,0,0,0,0,0,0,0,0,0,2,0,1,0,6,0,0.000,0.000,0.100
9,高木京介,2012,読売,34,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000
9,高木京介,2013,読売,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
9,高木京介,2014,読売,26,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000
9,高木京介,2015,読売,33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
11,宮國椋丞,2012,読売,17,35,29,1,1,0,0,0,1,2,0,0,5,0,1,0,17,0,0.034,0.034,0.067
11,宮國椋丞,2013,読売,17,31,29,0,3,0,1,0,5,2,0,0,2,0,0,0,14,1,0.103,0.172,0.103
11,宮國椋丞,2014,読売,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.000,0.000,0.000
11,宮國椋丞,2015,読売,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
11,宮國椋丞,2016,読売,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
12,西村健太朗,2004,読売,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
12,西村健太朗,2005,読売,12,10,9,0,1,1,0,0,2,1,0,0,1,0,0,0,4,1,0.111,0.222,0.111
12,西村健太朗,2006,読売,32,25,23,0,4,0,0,0,4,0,0,0,2,0,0,0,13,1,0.174,0.174,0.174
12,西村健太朗,2007,読売,57,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0.000,0.000,0.000
12,西村健太朗,2008,読売,43,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
12,西村健太朗,2009,読売,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
12,西村健太朗,2010,読売,14,26,21,0,1,0,0,0,1,0,0,0,5,0,0,0,12,0,0.048,0.048,0.048
12,西村健太朗,2011,読売,38,32,29,0,3,1,0,0,4,3,0,0,3,0,0,0,19,0,0.103,0.138,0.103
12,西村健太朗,2012,読売,69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
12,西村健太朗,2013,読売,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
12,西村健太朗,2014,読売,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
12,西村健太朗,2015,読売,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
12,西村健太朗,2016,読売,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
13,田原誠次,2012,読売,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
13,田原誠次,2013,読売,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
13,田原誠次,2014,読売,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
13,田原誠次,2015,読売,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
13,田原誠次,2016,読売,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
14,マイコラス,2015,読売,21,54,49,5,7,2,0,0,9,3,0,1,4,0,1,0,22,1,0.143,0.184,0.160
14,マイコラス,2016,読売,3,6,5,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0.000,0.000,0.167
15,今村信貴,2013,読売,3,5,3,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0.000,0.000,0.000
15,今村信貴,2014,読売,13,7,7,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0.143,0.143,0.143
15,今村信貴,2016,読売,13,19,18,0,1,0,0,0,1,0,0,0,1,0,0,0,9,0,0.056,0.056,0.056
17,山口鉄也,2007,読売,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
17,山口鉄也,2008,読売,67,6,5,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,0.200,0.200,0.200
17,山口鉄也,2009,読売,73,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.000,0.000,0.250
