市区町村,当日有権者数,有効投票,無効投票,投票総数,社会民主党,国民怒りの声,おおさか維新の会,公明党,日本共産党,幸福実現党,自由民主党,新党改革,こころ,生活の党,民進党,支持政党なし
昭島市,93444 ,51368 ,1640 ,53008 ,1517.000 ,564.726 ,2973.438 ,7704.633 ,6872.005 ,215.000 ,16998.644 ,711.315 ,723.000 ,1153.000 ,11214.231 ,721.000 
調布市,189529 ,109175 ,3285 ,112460 ,3815.919 ,1825.623 ,8389.657 ,9956.782 ,15588.189 ,348.000 ,36494.585 ,2071.880 ,1851.000 ,3369.000 ,23716.353 ,1748.000 
町田市,353962 ,202062 ,5900 ,207962 ,6053.152 ,3462.920 ,15765.023 ,22064.202 ,27388.013 ,670.000 ,67811.240 ,2998.932 ,3300.818 ,5784.000 ,43994.680 ,2769.000 
小金井市,99331 ,58189 ,1698 ,59887 ,2190.292 ,1034.000 ,4012.000 ,4301.067 ,8151.439 ,206.000 ,19116.906 ,1194.336 ,887.463 ,1830.000 ,14366.491 ,899.000 
小平市,155029 ,91051 ,2460 ,93511 ,2907.094 ,1439.945 ,5861.900 ,11892.691 ,13103.041 ,350.000 ,28208.224 ,1451.096 ,1383.000 ,2576.000 ,20750.997 ,1127.000 
日野市,151727 ,87869 ,2697 ,90566 ,2943.842 ,1244.367 ,5854.280 ,8601.188 ,13245.107 ,424.000 ,28862.295 ,1438.477 ,1298.000 ,2202.000 ,20659.435 ,1096.000 
東村山市,125929 ,72119 ,2038 ,74157 ,1993.000 ,1045.531 ,4572.815 ,9805.921 ,11813.250 ,271.000 ,22492.009 ,1071.013 ,1098.000 ,1921.000 ,14894.454 ,1141.000 
国分寺市,100820 ,61365 ,1591 ,62956 ,2224.878 ,1134.060 ,4080.344 ,5471.000 ,9019.060 ,172.000 ,20169.615 ,1101.077 ,933.000 ,1812.000 ,14412.959 ,835.000 
国立市,62957 ,38336 ,1140 ,39476 ,1661.000 ,674.000 ,2639.289 ,3473.205 ,6080.019 ,99.000 ,12073.033 ,618.449 ,616.000 ,1347.000 ,8451.000 ,604.000 
福生市,47947 ,25033 ,954 ,25987 ,617.785 ,289.784 ,1569.470 ,4019.375 ,3144.074 ,96.000 ,8630.410 ,372.796 ,389.000 ,764.000 ,4775.299 ,365.000 
狛江市,68197 ,38694 ,1238 ,39932 ,1405.000 ,653.590 ,2699.351 ,3603.832 ,6356.003 ,126.000 ,12484.095 ,657.057 ,621.482 ,1318.000 ,8202.579 ,567.000 
東大和市,71054 ,40467 ,1084 ,41551 ,1030.000 ,488.368 ,2429.232 ,6682.612 ,6248.999 ,131.000 ,12257.128 ,543.088 ,602.000 ,966.000 ,8513.567 ,575.000 
清瀬市,61952 ,35987 ,1059 ,37046 ,1028.000 ,526.302 ,2132.061 ,4508.000 ,6866.031 ,170.000 ,11000.999 ,505.906 ,485.000 ,836.000 ,7444.697 ,484.000 
東久留米市,97820 ,56069 ,1823 ,57892 ,1964.206 ,840.051 ,3511.676 ,7217.156 ,9655.227 ,222.000 ,17329.538 ,826.576 ,834.387 ,1426.000 ,11609.170 ,633.000 
武蔵村山市,58322 ,29384 ,1147 ,30531 ,580.642 ,250.780 ,1505.246 ,6135.029 ,4515.432 ,101.000 ,9117.183 ,294.347 ,425.000 ,588.000 ,5489.329 ,382.000 
多摩市,125005 ,73925 ,1976 ,75901 ,2728.054 ,1178.546 ,5550.590 ,7494.256 ,11913.082 ,222.000 ,22628.482 ,1135.571 ,1266.000 ,2025.000 ,16686.410 ,1097.000 
稲城市,70737 ,41639 ,1111 ,42750 ,1160.000 ,628.000 ,3302.000 ,4279.288 ,5717.999 ,131.000 ,14125.710 ,651.000 ,638.549 ,1146.000 ,9137.450 ,722.000 
羽村市,46334 ,25257 ,862 ,26119 ,623.000 ,279.000 ,1535.139 ,3459.031 ,3472.999 ,84.000 ,8407.826 ,337.000 ,417.000 ,586.000 ,5709.000 ,347.000 
あきる野市,67550 ,36203 ,1164 ,37367 ,913.000 ,351.312 ,1994.434 ,4879.666 ,4989.000 ,140.000 ,12267.232 ,405.665 ,488.000 ,809.000 ,8539.687 ,426.000 
西東京市,165915 ,96861 ,2777 ,99638 ,2948.000 ,1518.019 ,6866.383 ,9962.411 ,13691.752 ,371.000 ,31253.484 ,1696.030 ,1490.000 ,2826.000 ,22774.913 ,1463.000 
瑞穂町,28041 ,13563 ,620 ,14183 ,270.000 ,125.418 ,784.121 ,2361.046 ,1560.000 ,58.000 ,5008.127 ,139.701 ,129.000 ,268.000 ,2696.581 ,163.000 
日の出町,14138 ,8068 ,323 ,8391 ,170.000 ,79.745 ,411.000 ,1129.000 ,1034.166 ,31.000 ,3037.428 ,79.443 ,95.000 ,184.000 ,1733.215 ,84.000 
檜原村,2120 ,1388 ,70 ,1458 ,24.000 ,6.000 ,39.000 ,208.000 ,80.000 ,2.000 ,411.000 ,9.000 ,6.000 ,19.000 ,576.999 ,6.000 
奥多摩町,4888 ,2711 ,178 ,2889 ,47.000 ,16.000 ,104.000 ,383.000 ,336.000 ,17.000 ,1152.999 ,27.000 ,12.000 ,62.000 ,520.000 ,33.000 
大島町,6785 ,3907 ,225 ,4132 ,85.000 ,32.000 ,145.000 ,643.000 ,690.000 ,14.000 ,1550.000 ,40.000 ,46.000 ,90.000 ,535.000 ,37.000 
利島村,258 ,202 ,10 ,212 ,3.000 ,2.000 ,5.000 ,24.000 ,16.000 ,0.000 ,129.000 ,2.000 ,1.000 ,5.000 ,14.000 ,1.000 
新島村,2435 ,1426 ,60 ,1486 ,19.000 ,6.000 ,55.000 ,120.000 ,115.000 ,6.000 ,756.000 ,12.000 ,15.000 ,28.000 ,283.000 ,11.000 
神津島村,1503 ,940 ,15 ,955 ,12.000 ,6.000 ,35.000 ,174.000 ,42.000 ,3.000 ,482.000 ,7.000 ,10.000 ,17.000 ,134.000 ,18.000 
三宅村,2299 ,1247 ,65 ,1312 ,26.000 ,12.000 ,42.000 ,176.000 ,155.000 ,1.000 ,540.000 ,12.000 ,15.000 ,35.000 ,219.000 ,14.000 
御蔵島村,252 ,187 ,9 ,196 ,7.000 ,1.000 ,7.000 ,11.000 ,28.000 ,1.000 ,77.000 ,4.000 ,2.000 ,7.000 ,40.000 ,2.000 
八丈町,6627 ,3944 ,177 ,4121 ,93.000 ,41.000 ,150.000 ,871.284 ,357.000 ,19.000 ,1412.713 ,38.000 ,43.000 ,135.000 ,744.000 ,40.000 
青ヶ島村,140 ,93 ,10 ,103 ,2.000 ,1.000 ,10.000 ,11.000 ,7.000 ,1.000 ,43.000 ,1.000 ,2.000 ,2.000 ,13.000 ,0.000 
小笠原村,2082 ,1183 ,58 ,1241 ,29.000 ,18.000 ,93.000 ,112.000 ,154.000 ,14.000 ,414.000 ,11.000 ,20.000 ,115.000 ,176.000 ,27.000 
