　　,兵庫,和歌山,大阪,奈良,滋賀,京都
兵庫,0,134,85,116,118,60
和歌山,134,0,68,66,145,141
大阪,85,68,0,32,83,75
奈良,116,66,32,0,79,95
滋賀,118,145,83,79,0,63
京都,60,141,75,95,63,0
