"市区町村","有効投票","無効票","投票総数","みんなの党","民主党","新党大地","社会民主党","生活の党","みどりの風","自由民主党","日本共産党","公明党","緑の党","日本維新の会","幸福実現党","cut2","cut3","cut4","cut5"
"羽村市",22544,507,23051,2124,2168,102,411,310,127.4,7270.07,2800.75,3051.75,234,2306.25,50,1,2,3,3
"あきる野市",32171,806,32977,2735,3011,113,645,446,208.82,11025.21,4413.78,4488.15,330.81,3049.11,82,1,2,3,3
"西東京市",85508,1846,87354,9325,8977,479,1876,1533,837.18,25920.88,11928.13,9501.75,1239,9493.72,208,1,1,2,2
"瑞穂町",12116,407,12523,986,909,63,150,178,39.62,4288.46,1194.44,2123.37,98,1311.02,37,1,2,3,3
"日の出町",7491,202,7693,625,735,31,128,95,48.75,2842.65,861.1,999.62,74,693.19,18,1,2,3,3
"檜原村",1340,64,1404,78,125,5,25,10,11.14,606.86,80,261,22,76,2,2,3,4,4
"奥多摩町",2888,136,3024,195,247,10,51,43,23,1277.2,294.38,427.25,32,188,10,2,3,4,4
"大島町",4093,168,4261,239,244,15,59,43,26,1606.65,693,676,65,304.15,3,1,2,3,3
"利島村",211,11,222,11,5,0,2,1,2,148,13,15,1,10,0,2,3,4,5
"新島村",1429,60,1489,73,101,7,14,12,7.86,798.14,125,104,27,102,1,2,3,4,4
"神津島村",971,18,989,55,66,5,11,15,11,495,31,157,11,70,1,2,3,4,4
"三宅村",1326,51,1377,62,97,4,28,14,7.43,598.57,158,172,15,124,4,2,3,4,4
"御蔵島村",201,8,209,13,19,1,1,2,4,94,28,10,6,20,1,2,3,4,4
"八丈町",4130,119,4249,238,286,17,62,87,34,1536,372,964,51,297,10,1,2,3,3
"青ヶ島村",94,12,106,12,3,4,2,0,2,40,7,14,2,5,0,1,2,3,3
"小笠原村",1111,39,1150,83,55,9,15,16,13.75,381.25,111.43,132.29,89,154,5,1,2,3,3
